RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31
102001,0,United States,country,,45771.00791201493,45980.87470723527,46208.40543809043,46394.63583186387,46560.01397334388,46715.297127704194,46892.972798668845,47090.5429244422,47297.02346922946,47497.62657263014,47687.47307891029,47861.04108066282,48001.87516636989,48120.486367232836,48194.979374411734,48328.47117016193,48470.576996287455,48655.77803725695,48799.62931164025,48951.92221837156,49093.15356706838,49242.26584645197,49372.758959226645,49500.36663704339,49685.30095396523,49901.6722195136,50166.99210127021,50361.25848866341,50548.66467631482,50698.49794390541,50855.084994251374,50989.30649819729,51170.13279011782,51321.32017915819,51500.27715706925,51676.751664744406,51870.27902393773,52067.152905020645,52229.18372426807,52398.29987420839,52539.31779016776,52709.90161758383,52890.04984710846,53087.96963961164,53249.36106495294,53451.76125787601,53671.89926503251,53888.73388957236,54046.55322330034,54177.60081696091,54340.8128957999,54524.55937170979,54734.53650862011,54932.605316967776,55128.836974345046,55320.630413525825,55520.12108826103,55701.62060291271,55860.85805490458,56026.71708557731,56221.22683995887,56431.0224417764,56600.729425519436,56530.347997678524,56377.630079959235,56245.87674733391,56279.2409816258,56296.72465734387,56333.313533928864,56472.02124217358,56691.699524574484,56980.00336493971,57371.512115133824,57793.293479056476,58260.54608604956,58852.26309147398,59625.63578568326,60532.89903809896,61465.63560939501,62476.80685255383,63485.36027127902,64349.17689274518,65089.26919857649,65738.88099430877,66282.03381571066,66818.14612354481,67266.48346064649,67860.29889459112,68390.4898380172,68936.79958732908,69337.93205906417,69625.68676506211,69827.30276109032,69987.9738280772,70165.4423891659,70379.71252047768,70591.75924554133,70800.8178968619,71103.10062278926,71298.5860727785,71491.54917221173,71519.95452067848,71649.35976523334,71785.58446889045,71943.38492608268,72129.68832120487,72304.26425346747,72504.34499226414,72709.46521189492,72905.3799622545,73063.58220885525,73234.948659637,73416.19813143526,73623.35543450284,73806.74223858332,73966.94440355277,74129.11672600129,74282.36588751442,74489.86857208879,74666.18755497217,74863.79650629139,75019.07318573724,75167.32974931407,75303.45089196633,75422.19693998752,75576.62681138469,75713.01165338358,75867.11635835608,76008.99965072471,76138.76192880448,76215.16746568456,76280.9105486587,76314.8561852981,76370.17771664904,76416.99976674325
394913,1,"New York, NY",msa,NY,87592.90052217296,88175.35944551605,88707.0746666292,89068.61333618884,89216.4238151447,89373.15809546437,89571.31390002902,89905.69777707911,90228.25449689472,90546.22473217538,90700.65379087537,90891.60007730895,91019.94211008908,91161.68118095568,91196.32619471777,91269.36059081498,91400.35766464574,91571.34500996351,91811.90431729845,91922.29389170036,92097.81899712395,92268.10197764295,92642.90022484775,92774.74223521279,92890.43682703571,92878.77099699606,93035.72784343034,93157.759068809,93365.61641254123,93467.51200931448,93593.06227049262,93642.07568518005,93766.81110656416,93746.88095555422,93764.61647258836,93852.61782221496,94057.99784538,94254.27418256053,94438.91512509141,94722.44775379758,94919.04920875187,95094.58240929902,95271.51715726248,95575.64159440834,95834.4564388329,96033.69723304968,96304.85713856225,96529.00112416431,96782.30809735299,97023.78483681649,97267.50646430001,97459.7663153605,97683.62404924961,97977.89967440086,98257.59766046754,98510.26349479119,98761.53570920364,99142.02497643963,99425.94441408757,99773.36478259994,100060.12699927624,100401.34213210175,100062.83918141839,99435.68460890507,98360.21413408002,97014.9589752389,95680.09381109723,93980.50941537258,92451.63868883208,91466.34184930634,90981.45708391514,90951.18635881736,91094.36879946239,91403.86956587722,91843.2148571062,92543.35365292097,93693.36528951686,95190.23951736682,97044.39691349489,99281.51997738521,101582.47583399493,103622.93918357904,105444.27557479491,106942.46124722216,108215.69566610832,109300.21234860846,110347.62285701078,111424.30239469132,112586.44217582262,113823.76983383589,114933.37617161345,115799.61616936685,116359.687879384,116701.59799683602,116850.30245185268,117019.18542587245,117325.9409552183,117741.23741021815,118277.71564072951,118929.76100508621,119500.8461843014,119804.77629443907,119982.19962092018,120197.67420708384,120642.89493178125,121015.98638870953,121379.83032952898,121775.70420729104,122316.45482786138,122858.30894452272,123364.98218493827,123790.0222768235,124198.61189464811,124482.61345645231,124580.77664252733,124687.97250217485,124898.52056098191,125333.13233628181,126075.15588588014,126750.64911208538,127446.6543551543,127857.7418172865,128252.10894134098,128640.00217177333,129015.46635047543,129566.28001489698,130319.29468068734,131062.67291099273,131649.69363560068,132127.43062414048,132390.9890472583,132674.24861444996,132824.7853302331,133161.14589384152,133485.59551181443
753899,2,"Los Angeles, CA",msa,CA,70388.11390820354,70770.35374358199,71217.78265083225,71625.07333659215,71957.36124169394,72264.77052280692,72649.08648351977,73081.31202179973,73576.6921330391,73998.74509447798,74479.11986736816,74945.35306630596,75377.52626642172,75672.76945582044,75892.81619841896,76149.9265489733,76493.30260393277,76901.7662008538,77292.01346063803,77593.35491087986,77912.69668784013,78211.78619813098,78533.06714731842,78835.18409090562,79330.27413839538,79858.48014488966,80524.80459356832,80950.88893336518,81335.67693935247,81590.65181676646,81903.44194497075,82167.69516269657,82504.47209816474,82770.2415613506,83119.85832366008,83451.6002356288,83842.83333204556,84265.11551620282,84472.28740245692,84713.87392635603,84880.6435398628,85258.45037843382,85589.93616953198,85990.90840491676,86284.05382399644,86658.10943624623,87009.54107125787,87344.57820568384,87508.09273111429,87652.46853260585,87907.18352529824,88245.12169743884,88637.92499021189,88909.02875873627,89176.94477399928,89422.43999628954,89696.83868412244,89940.70701124762,90144.30265970758,90367.25071584288,90646.1968282415,90914.2688195558,90739.85902791127,90413.16837167468,90075.7117763572,89762.23064461294,89584.23331470341,89325.73617673972,89253.30536849669,89412.24304630862,89696.43783003718,89922.11687199988,90365.77767640253,90803.69891364488,91339.18324925326,91858.67258917973,92630.47918229153,93804.29879188072,95226.8942074378,96941.38760837438,98438.66986832637,99658.93692140568,100601.69583198993,101644.5652648987,102526.98407209726,103515.58642825167,104369.14557814186,105520.44492197498,106410.28460381262,107113.19105628558,107470.26022374436,107685.36452581172,107873.33811961315,108008.85157275156,108298.61826642048,108476.18517569033,108569.78242428054,108647.0751933118,108950.88417363481,109294.33772171901,109565.61245594239,109645.0900941625,109870.10242349903,110066.93220732256,110227.12650598561,110443.2285484839,110554.08507967218,110805.31776617674,110934.39634097856,111112.72751757641,111204.53325154615,111506.439365203,111815.87788014882,112144.24989986619,112464.58916427102,112697.7472365228,112978.08741830081,113177.4278418703,113439.29020294173,113634.48143309454,114240.10877864587,114761.72388408885,115142.41570930254,115202.59069309839,115305.79583381527,115481.02374830232,115621.78529870811,115828.83639213831,115993.19150797825,116172.1465723341,116288.22720604227,116360.54858300183,116153.06230092682,115942.28358878818,115796.0462951262
394463,3,"Chicago, IL",msa,IL,55334.36034658383,55405.80562772151,55572.48654913555,55739.67553246158,55911.08188140951,56043.07125968272,56155.59689554825,56313.568250931785,56446.6151890132,56630.26198973848,56804.798550927495,57025.21607345719,57191.88105797821,57298.450144627306,57378.56516749478,57416.110245796735,57497.6423313642,57601.84068688653,57800.2326466879,58037.82482194786,58150.591863484784,58271.39047677236,58257.68852315675,58242.611237177516,58304.848829770955,58541.02612679515,58865.672186715776,59100.59150918199,59273.1530101884,59336.18093148963,59385.69489930412,59368.67619840191,59545.79972821966,59624.35785915059,59801.18514382283,59928.34256248042,60082.93905012796,60230.60000549236,60273.63720742538,60363.83274020805,60458.92695007716,60664.31960881426,60843.52961650875,60948.98989318684,60951.641868498,61010.91064619285,61182.969599616,61469.920852190655,61628.237659938924,61722.385087689996,61845.10719615871,61986.64466792422,62149.84660013225,62279.397559916026,62421.38696725672,62646.21566181827,62884.07927578672,63126.15943641087,63262.93039385181,63337.30495272309,63487.50496295417,63661.64398598309,63825.43689789896,63499.876959145615,63133.79884467385,62828.2038836042,62728.811746119965,62652.04780423833,62476.417445764,62247.093180096505,62102.56543081215,62137.23462907633,62188.60450142614,62378.86352246094,62619.452396134104,63211.793362249766,63850.805614212455,64563.023884671835,65167.6695802871,65764.85675317394,66429.90544759041,67016.98509660456,67620.83722779568,68164.40067421104,68690.05247665718,69098.55179476847,69525.90541120453,70024.42008237203,70552.08613164347,70992.77762767307,71447.14755866188,71843.40008268245,72274.97736188857,72715.50570610412,73098.5953747566,73442.5643449633,73754.16482833333,74131.18236711969,74521.82750354025,74804.36451110129,75172.3221618607,75500.05259891337,75845.84441811034,76224.41324690604,76497.04025136816,76783.24501958348,77060.87303661431,77470.4933608329,77848.04690840332,78187.78612965073,78422.38841132645,78729.38962213993,78970.05621880062,79263.4518301005,79551.73898278858,79875.4326762714,80251.29038162972,80722.0102545738,81211.09937319742,81662.76222717238,81978.95372368032,82345.73115709997,82706.57132648252,83141.18316799933,83570.27872045276,83992.32386640705,84407.73933520632,84788.17048764371,85168.05217952961,85462.82924230098,85758.35148959533,86025.44260781388,86420.63051698008,86781.50424792319,87192.70372593509
394514,4,"Dallas, TX",msa,TX,42298.110967925255,42439.49279592695,42588.39463422595,42838.46908692396,43013.5537866316,43212.22836470426,43392.65776499358,43571.34206841746,43768.58834754366,43936.898408392255,44148.54807992116,44355.89648590851,44503.46380090627,44685.60813554159,44826.83595818982,45032.384273849784,45165.13106548955,45331.795979636496,45476.01175885857,45671.8621164879,45849.647153713595,46069.761979698356,46196.93891753642,46352.38794970306,46593.22276148443,46784.18669635452,47079.35522501917,47224.92135905135,47529.50790609348,47657.025976425844,47826.96652175027,47960.62488034437,48123.935323397876,48199.21387727876,48409.38353179153,48552.06198314365,48757.47302151638,48924.10129125801,48993.49872659708,49115.83342435947,49144.75743858405,49335.15320770289,49487.78233234983,49614.83188339686,49706.803118169875,49938.47881314981,50132.89019851923,50390.08053685586,50486.954872719194,50576.371935543444,50744.41102644094,50923.75786182911,51108.69823373118,51243.162613282395,51385.30504631164,51547.55396469734,51718.91810966794,51810.492431734594,51876.72081078693,51915.860530512946,52025.09997217289,52161.84511860081,52392.77800711333,52340.02052985058,52208.515464564734,52026.96274394448,52018.199180507356,52089.51748609215,52279.026875988304,52556.83723273056,52841.793934845984,53206.280138118105,53625.10017239318,54084.1471106074,54472.70206630064,55060.52693654701,55792.13956094528,56726.51035410888,57701.52294766272,58773.071522385704,59772.09227711707,60618.83071258322,61366.6689180142,62055.60396484841,62634.984346256984,63136.50577014155,63547.03642161939,64129.9253487765,64697.60376892664,65378.87692339048,65783.98147288476,65928.1028827192,65885.68262237214,65743.30980331854,65740.4962437602,65790.26041812,65917.58844177877,66029.95768286352,66281.99940957256,66237.32077330044,66243.6139681495,65988.54557883255,65997.53692848157,65946.90944056762,65979.96698172315,66008.07014520698,66058.33588084365,66031.884537519,66009.3795929689,65906.1706907599,65793.43986698601,65713.14521730895,65696.36560893345,65750.97547476471,65771.51136769759,65819.1663834157,65810.97489208549,65854.37497861989,65808.97188221954,65803.10379171299,65795.6359788399,65873.49791712119,65971.77486920104,66045.11085064818,66029.61247467097,66038.4047650169,65989.26529842801,65980.00638857596,65997.39685361201,65987.81423521241,65997.58425489627,65991.955040665,65960.74723054364,65894.72835902795,65781.5143701904
394692,5,"Houston, TX",msa,TX,47986.852241949695,48086.239836512665,48272.43153317197,48377.578164052095,48444.96622186179,48524.731765019416,48613.65840236182,48764.76823403373,48815.11066187238,48871.76653581524,48928.27843092315,48965.33944046729,49046.166087180565,49046.63382786972,49125.30856207924,49078.39167079702,48998.46954671887,48950.92321458483,48980.205275767185,49032.480906936726,48937.76062043664,48880.92155944763,48749.562147407574,48765.479573841345,48827.803943571234,49050.25469860848,49251.5753789017,49295.07543540478,49439.21253303524,49419.569119566324,49483.554221767736,49448.72712004535,49860.66387386708,50247.14516926276,50705.69800082764,50963.010162535174,51114.54547834491,51302.018920986695,51260.61884399112,51399.85209942042,51343.54184618251,51464.44871483456,51505.019736790906,51616.61813770985,51626.37092860772,51695.75499159519,51797.44428892751,51809.231860971355,51850.846703896335,51743.26770372634,51892.940973812496,52009.51841701304,52232.38425470839,52391.554457762715,52554.332487661435,52704.92970764578,52746.522619683696,52754.08064601999,52725.32835997759,52843.31064483881,52987.81919097574,53204.16412058634,53426.94448654178,53273.05381169368,52954.1118241159,52645.37726123755,52650.3979156547,52773.930345799956,52919.4067305966,53140.79039048354,53376.58080518932,53548.55318122858,53793.66623753693,53912.185846440116,54184.21442261417,54609.49221334953,55308.92218354271,56139.867299221914,56891.443188488,57659.17107139539,58306.634981666575,58807.56444177411,59219.08941085848,59596.99672210037,59932.621145383564,60336.2225177595,60637.29196839402,61065.87865144062,61319.100233482655,61624.24079078923,61808.58588098823,61936.99076367533,62017.78801751372,62073.85726098355,62132.85571030217,62276.940455009804,62465.76221227069,62722.063265983554,63024.38293380373,63119.59634762876,63261.25902163103,63325.98625482427,63400.36700340244,63381.81988561766,63322.46984861491,63367.587990061635,63468.637916884196,63606.07523756484,63731.374976603875,63825.11894888584,63795.01953661605,63898.675127184106,64038.30814064193,64310.016088294484,64376.27636283003,64497.038363491585,64586.61877945249,64733.229324944456,64802.12493568382,64824.29572952298,64836.59816144032,64910.23353344533,65043.232607185906,65051.420575157856,65018.48622142684,64888.993479686935,64918.00112023336,64938.57866599288,64990.38332398057,64933.75715767087,64885.71058895795,64814.27418614305,64724.569943996896,64564.54873209219,64390.60729638904
395209,6,"Washington, DC",msa,VA,67407.39233377317,67609.08557627273,67777.08858569188,67859.72733362888,67946.68956488781,68001.9631227404,68066.22307643881,68075.44072368312,68262.51288864331,68430.47955588232,68675.10813084037,68780.88862173453,68884.26565922904,68894.0949975405,68942.1974615489,68978.19471221094,69066.63959631143,69132.02090689768,69253.99859872009,69435.81431965252,69511.22965724683,69623.8581926965,69667.0670070494,69823.61553251189,69992.91803656633,70306.73692526316,70525.72134107845,70714.39844201539,70759.27876748837,70901.34378864589,70975.06299456474,71061.3725011727,71221.10499074451,71369.21683201347,71474.80805168927,71535.9594009223,71634.08823050003,71727.05720921086,71909.93597760612,72088.75483104317,72309.13037235913,72502.3889800981,72699.16321128282,72973.27327021152,73028.54730117814,73268.79798637771,73560.39330478756,73908.94678506446,74034.44544205336,74177.29650076598,74317.88536092796,74484.56577979846,74682.59086167392,74861.98346243231,75061.63664613354,75184.89595742815,75458.89582180548,75588.07878075373,75710.20216901021,75790.76252712452,76023.1327393737,76218.24282495,76583.54720547648,76390.8788652436,76053.17333032783,75512.99286811276,75183.42612928142,74929.53913114335,74646.19326785486,74417.18986422125,74206.37418420217,74154.89436841331,74358.07183148747,74594.93139595982,74768.5734621249,75121.92473641646,75829.98800783577,76911.42713997087,77925.91875784246,78960.13663846678,79884.34003144741,80830.39803778459,81582.77544528608,82168.8587140071,82460.25883401306,82812.24267782476,83190.64587345433,83828.08716822074,84348.96682019118,84861.69052442534,85283.0041470515,85534.35117763482,85762.88509088295,85731.27842154536,85850.10595219256,85990.93781702736,86307.78346018847,86655.13990805198,87179.9398596946,87434.53921237418,87693.15491916814,87707.41395515,87973.21465504773,88269.14315368971,88619.47933010408,89059.45984595847,89442.31981998097,89756.73135606082,90003.1699828977,90286.21737613848,90528.26548979119,90891.74444958541,91304.49828348283,91815.74682303474,92242.55840457059,92562.29403540822,92826.00242005943,93054.00055203353,93325.0777809957,93577.90944480104,93887.80523733023,94100.48129456402,94290.5980525506,94380.01476000766,94411.24746524001,94445.88942487125,94410.40723038527,94442.77545300273,94460.58633065569,94473.89633549115,94413.17636716114,94354.35248764705,94211.02030264687,94067.97323624504,93877.14840564608
394974,7,"Philadelphia, PA",msa,PA,47550.45507746948,47686.29962473306,47937.509988444945,48038.20689352222,48148.833362272344,48180.907298833496,48317.85797689992,48419.57847353917,48563.164326413425,48679.61947768406,48703.17991286943,48761.38958029058,48774.985744305915,48938.882936564805,49017.43150145876,49185.333837193466,49317.39404003226,49557.707784431856,49670.53378646545,49790.75760882077,49837.962806067204,49943.07954008645,50144.48654799069,50318.10253616177,50488.90655629445,50582.708723314274,50722.506591928635,50846.98177549919,50936.84857483032,50943.88011935471,51044.17544608487,51184.30552682626,51382.413726881015,51534.51008366062,51635.71632897786,51842.07802688161,51955.41409753064,52130.4009743161,52255.58441324025,52398.87194708059,52593.048541498516,52694.87905907795,52814.734259421944,52937.29862669577,53115.86386683346,53347.30763629563,53611.38565133664,53756.18597633721,53951.50903214798,54022.538750755775,54217.20672205184,54393.59376846663,54557.54731337368,54816.88500076123,55041.53429568075,55246.245354832754,55395.13201978796,55516.56588375109,55624.579736799016,55781.06391834722,55951.98577653361,56203.51134354461,56442.10750746295,56468.173420244166,56369.869509685646,56302.65122928616,56455.28425154745,56550.177171558345,56744.45488198505,56911.834832460714,57121.22236832295,57300.54059011224,57563.94823131278,57823.790682375795,58040.35224203722,58485.261429618724,59144.53246967503,59834.748773276166,60427.68898409838,61083.600285801615,61619.33191615397,62233.72497645661,62793.20923598743,63537.51083891759,64028.891055477325,64438.972942823435,64733.29820492941,65113.45144006322,65441.17625844202,65830.80699911174,66139.80797109542,66348.6678335606,66515.08113731946,66566.93027791071,66711.24339804151,66754.31467926527,66988.32777557077,67106.33144430099,67480.2053345079,67703.02349546624,67978.610033814,68015.8869701252,68154.77105290879,68374.16996122741,68682.51609560789,68947.2046327691,69094.7301073119,69169.9809062836,69307.49451659583,69605.24397483599,69903.28517050661,70192.09447682292,70396.36310045728,70618.05193417377,70698.59849456926,70855.64453657622,71009.52562532984,71311.5989755138,71618.56176688595,71953.23560326762,72216.56467205,72314.73179190532,72370.47251262637,72492.9188250982,72652.87908637786,72899.16038474109,73221.21262328867,73458.12560730476,73660.37476104115,73784.06394032859,73938.64917351046,74118.39662059529,74287.66023668757,74529.2370374627,74753.30607944021
394856,8,"Miami, FL",msa,FL,58794.88919874569,59130.201838716144,59429.91976357115,59724.823261276426,60015.09562164447,60294.33017189558,60559.73393633387,60817.56340432215,61134.46171407782,61382.428964403676,61726.34468454783,61978.27999840556,62212.83172341518,62340.17040948693,62443.15651654244,62535.49690920208,62525.58573643767,62543.31792376446,62564.760644934504,62624.41959197301,62705.91203556628,62767.46970825916,62886.583076089155,62948.100708182894,63197.18842987727,63402.6020741588,63743.090486639005,63865.00512894528,63982.592576614385,64099.95414029412,64269.54537428547,64506.80753758489,64682.55047127115,64816.640603113694,64807.465092621824,64913.97865497114,65073.7446141518,65283.27184942471,65450.24265048363,65644.62857785015,65824.88780790247,66041.06310590424,66222.63137544447,66444.32059185383,66580.63721999833,66745.77507576642,66901.63123714435,67121.07947994236,67214.62450436119,67292.22660930216,67353.24086525386,67510.87681366238,67709.86977412672,67882.24783481286,68062.21014913228,68176.0608538991,68386.57210060865,68607.63841764865,68900.13211537899,69110.34113709377,69364.8230877802,69631.8847613339,69744.84367782518,69598.19723150306,69332.59332106022,69242.45839087124,69256.24314580468,69345.55641903801,69514.46856206699,70012.90951550526,70650.90056435087,71291.38692814535,72056.41350567737,73089.67121949408,74284.07969458947,75661.00728922631,77239.0941993969,79166.02756875602,81520.14020328889,83967.7536943832,86234.22824722413,87985.53616298959,89744.67881862262,91651.06940182853,93489.59557383014,94970.5314990094,96403.26214177291,97972.7240482272,99471.07952193571,100455.54416303828,100968.46738791556,101156.43952288682,101421.12990388057,101682.40216946065,102013.12481865243,102304.24489423989,102521.77810310826,102711.77429346438,102864.21455410756,102986.58074371085,103123.53020042596,103175.12510821653,103166.43555854523,103280.28182409551,103435.227954223,103834.63556796453,104009.47556852213,103995.17344234479,104063.97785096717,104291.14540515577,104546.7819221823,104721.1884108654,104787.77667187169,104936.27772104162,105124.23114224794,105331.94547711528,105567.01658203243,105657.53738718563,105722.80654253779,105831.87412178563,105984.17619435812,106074.3598159644,106056.84010047346,106078.88942369077,106143.83716902349,106241.88783419019,106380.6331279533,106469.84790042274,106473.14787110369,106452.30029479803,106511.72804756471,106601.38288800353,106609.05844457554,106580.66065305941,106606.9735464754
394347,9,"Atlanta, GA",msa,GA,39794.179458786304,39973.49171051658,40080.18956228057,40315.684221602554,40466.664839581324,40731.79200961756,40883.54918166191,41070.801565264606,41262.28494954213,41473.662590640226,41639.93579670563,41849.1032312313,42051.000042688924,42277.79731285954,42472.47376892994,42593.153077378076,42768.38266324659,42943.34406183081,43206.67805223071,43444.13788802729,43645.53669390661,43871.22520446421,44042.984187380694,44227.18686525407,44411.66961800662,44663.0686739419,44961.96157121612,45250.301863751556,45541.50539785552,45796.694156374964,46084.99915545275,46307.89748026829,46585.81305228532,46667.69884471428,46915.28453108622,47076.4001198432,47393.991266739344,47628.559830369035,47873.90748845365,48124.93622823826,48360.707229120875,48586.95067672263,48802.92336454326,48986.6948249857,49155.75324506962,49583.725375636895,49979.219725221934,50338.814047249594,50536.77622841299,50725.93200968442,50941.76766337352,51167.38787282869,51392.79962396074,51638.53963061223,51855.26050089671,52131.03532330657,52390.81400632345,52532.505023159785,52619.495502066035,52768.529357699,52954.53311953622,53166.329586923144,53442.73709888133,53553.52654072312,53600.76871682686,53674.3590018076,53982.516303219956,54325.04362065707,54676.20094798556,55093.56234755297,55617.44523584353,56215.49497128993,56948.40799315543,57707.0404976686,58368.12620876457,59152.072728102336,60038.25999397906,61246.20263839442,62406.64936490127,63728.96738056191,64922.54539316662,65973.3042488599,66713.1615200433,67180.55720901748,67516.09128158189,67744.99190920069,68096.64595331556,68502.19264694287,69055.50293002905,69501.29353678643,69911.25350934609,70079.18503722452,70142.8432019622,70118.33512226351,70186.14135835318,70438.04181166748,70525.41962966687,70657.87640750957,70920.63423986174,71093.34914522938,71134.40198537397,70859.35278822508,70698.84957215765,70492.08222458596,70362.35611039132,70258.75362455608,70245.41145926192,70272.75226102718,70453.1042435525,70663.64196532675,70679.75662309592,70719.36576157101,70772.67121459855,70922.57556370401,70902.92277662685,70842.75094510881,70869.116591048,70961.48138526535,71102.04057872124,71199.52332778949,71349.15201430644,71598.88146313655,71773.70902558905,71859.43251996707,71943.80212585273,72093.6913362859,72309.24341267395,72599.95067114788,72790.70645717849,72918.2458300408,72935.22234558497,72917.62891143996,72804.1184390064,72576.92582129949,72454.28161000962
