metro,date,home_values,rent_index,inventory,new_construction_sales,sales_count,mean_sale_price,years_to_save_downpayment,homeowner_affordability,renter_affordability,days_on_market,median_sale_to_list_ratio
"Chicago, IL",03/31/2019,"$233,571","$1,532","39,387",545,"9,961","$276,494",6,0.2460,0.2441,71,0.9773
"Chicago, IL",03/31/2020,"$238,797","$1,578","39,339",519,"10,303","$293,335",6,0.2320,0.2467,72,0.9787
"Chicago, IL",03/31/2021,"$258,670","$1,544","30,715",698,"14,619","$324,805",6,0.2279,0.2310,47,0.9912
"Chicago, IL",03/31/2022,"$285,059","$1,711","22,775",689,"12,450","$346,001",7,0.2622,0.2494,36,1.0000
"Chicago, IL",03/31/2023,"$290,562","$1,834","20,922",703,"8,682","$343,289",7,0.3037,0.2541,46,1.0000
"Chicago, IL",03/31/2024,"$311,006","$1,933","17,862",513,"7,387","$373,924",7,0.3150,0.2571,38,1.0000
"Chicago, IL",03/31/2025,"$326,483","$2,042","18,896",556,"7,463","$394,076",7,0.3472,0.2640,43,1.0000
"Chicago, IL",04/30/2012,"$165,210",,,,"7,639","$219,547",6,0.2270,,,
"Chicago, IL",04/30/2013,"$168,298",,,,"10,636","$221,632",5,0.2118,,,
"Chicago, IL",04/30/2014,"$186,752",,,,"11,041","$238,341",6,0.2409,,,
"Chicago, IL",04/30/2015,"$194,711","$1,385",,,"11,828","$252,591",6,0.2331,0.2545,,
"Chicago, IL",04/30/2016,"$205,834","$1,429",,,"12,818","$263,688",6,0.2357,0.2529,,
"Chicago, IL",04/30/2017,"$216,885","$1,472",,,"12,628","$276,902",6,0.2451,0.2525,,
"Chicago, IL",04/30/2018,"$228,241","$1,504","42,253",555,"12,682","$289,683",6,0.2544,0.2486,44,0.9794
"Chicago, IL",04/30/2019,"$234,472","$1,545","43,789",572,"12,320","$289,270",6,0.2440,0.2439,59,0.9789
"Chicago, IL",04/30/2020,"$239,668","$1,579","39,363",480,"10,241","$306,097",6,0.2280,0.2428,61,0.9804
"Chicago, IL",04/30/2021,"$261,886","$1,569","31,386",623,"16,045","$342,534",7,0.2309,0.2340,37,1.0000
"Chicago, IL",04/30/2022,"$289,619","$1,734","24,246",609,"12,775","$371,672",7,0.2809,0.2498,27,1.0006
"Chicago, IL",04/30/2023,"$292,239","$1,853","21,214",602,"8,464","$359,150",7,0.3002,0.2541,37,1.0000
"Chicago, IL",04/30/2024,"$313,841","$1,952","19,099",572,"9,006","$389,532",7,0.3209,0.2573,30,1.0000
"Chicago, IL",04/30/2025,"$327,076","$2,064","20,089",538,"8,683","$419,623",7,0.3482,0.2643,35,1.0000
"Chicago, IL",05/31/2012,"$164,627",,,,"9,213","$236,185",5,0.2241,,,
"Chicago, IL",05/31/2013,"$169,659",,,,"12,462","$235,020",5,0.2142,,,
"Chicago, IL",05/31/2014,"$187,940",,,,"12,414","$253,585",6,0.2392,,,
"Chicago, IL",05/31/2015,"$195,582","$1,394",,,"13,472","$265,031",6,0.2363,0.2548,,
"Chicago, IL",05/31/2016,"$206,478","$1,437",,,"14,660","$271,477",6,0.2359,0.2528,,
"Chicago, IL",05/31/2017,"$217,920","$1,483",,,"15,546","$282,938",6,0.2446,0.2522,,
"Chicago, IL",05/31/2018,"$229,187","$1,514","45,757",639,"15,209","$291,640",6,0.2566,0.2481,40,0.9811
"Chicago, IL",05/31/2019,"$234,882","$1,558","48,113",626,"14,857","$291,507",6,0.2425,0.2439,51,0.9808
"Chicago, IL",05/31/2020,"$239,761","$1,579","39,734",528,"9,083","$294,635",6,0.2247,0.2390,56,0.9778
"Chicago, IL",05/31/2021,"$264,836","$1,595","34,006",569,"16,400","$346,707",7,0.2321,0.2369,29,1.0000
"Chicago, IL",05/31/2022,"$292,799","$1,760","26,775",574,"13,803","$373,324",7,0.2874,0.2502,22,1.0054
"Chicago, IL",05/31/2023,"$294,412","$1,874","21,880",623,"10,397","$365,490",7,0.3031,0.2545,30,1.0000
"Chicago, IL",05/31/2024,"$315,935","$1,969","20,419",630,"9,846","$400,451",7,0.3235,0.2573,26,1.0002
"Chicago, IL",05/31/2025,"$327,363","$2,084","21,804",553,"9,537","$423,885",7,0.3493,0.2647,29,1.0000
"Chicago, IL",06/30/2012,"$164,476",,,,"10,236","$250,297",5,0.2218,,,
"Chicago, IL",06/30/2013,"$171,370",,,,"12,977","$257,256",6,0.2245,,,
"Chicago, IL",06/30/2014,"$188,924",,,,"14,195","$274,584",6,0.2392,,,
"Chicago, IL",06/30/2015,"$196,288","$1,404",,,"16,720","$280,522",6,0.2388,0.2546,,
"Chicago, IL",06/30/2016,"$207,255","$1,445",,,"17,418","$280,882",6,0.2360,0.2530,,
"Chicago, IL",06/30/2017,"$218,289","$1,489",,,"17,825","$297,442",6,0.2425,0.2518,,
"Chicago, IL",06/30/2018,"$229,292","$1,523","47,492",554,"16,540","$303,666",6,0.2554,0.2478,39,0.9811
"Chicago, IL",06/30/2019,"$235,088","$1,565","50,794",571,"15,103","$300,899",6,0.2377,0.2440,47,0.9806
"Chicago, IL",06/30/2020,"$239,304","$1,576","40,277",574,"11,846","$298,150",6,0.2222,0.2367,55,0.9801
"Chicago, IL",06/30/2021,"$267,678","$1,619","36,266",563,"19,893","$361,009",7,0.2331,0.2380,25,1.0001
"Chicago, IL",06/30/2022,"$294,947","$1,780","28,894",641,"14,857","$395,096",7,0.2942,0.2505,20,1.0046
"Chicago, IL",06/30/2023,"$296,951","$1,891","22,230",739,"11,472","$393,916",7,0.3111,0.2548,26,1.0003
"Chicago, IL",06/30/2024,"$317,143","$1,985","21,738",488,"9,467","$426,083",7,0.3208,0.2577,24,1.0003
"Chicago, IL",06/30/2025,"$327,719","$2,103","23,133",500,"10,413","$454,386",7,0.3487,0.2653,26,1.0000
"Chicago, IL",07/31/2012,"$164,604",,,,"9,657","$237,322",5,0.2198,,,
"Chicago, IL",07/31/2013,"$172,802",,,,"14,096","$251,367",6,0.2314,,,
"Chicago, IL",07/31/2014,"$189,922",,,,"14,124","$264,509",6,0.2392,,,
"Chicago, IL",07/31/2015,"$197,081","$1,408",,,"16,299","$274,813",6,0.2400,0.2542,,
"Chicago, IL",07/31/2016,"$207,678","$1,450",,,"15,172","$278,597",6,0.2340,0.2535,,
"Chicago, IL",07/31/2017,"$218,512","$1,491",,,"14,601","$289,306",6,0.2432,0.2513,,
"Chicago, IL",07/31/2018,"$229,333","$1,527","48,984",546,"14,488","$290,705",6,0.2536,0.2474,40,0.9804
"Chicago, IL",07/31/2019,"$234,908","$1,567","51,883",585,"15,024","$295,699",6,0.2365,0.2441,48,0.9794
"Chicago, IL",07/31/2020,"$238,832","$1,576","42,454",671,"15,444","$315,937",6,0.2187,0.2354,52,0.9834
"Chicago, IL",07/31/2021,"$270,051","$1,638","38,328",498,"19,004","$349,894",7,0.2314,0.2383,24,1.0000
"Chicago, IL",07/31/2022,"$295,469","$1,795","30,846",470,"12,280","$369,283",7,0.2911,0.2509,20,1.0000
"Chicago, IL",07/31/2023,"$299,471","$1,903","22,571",573,"9,359","$382,658",7,0.3156,0.2553,25,1.0000
"Chicago, IL",07/31/2024,"$317,869","$1,994","22,811",494,"9,927","$416,709",7,0.3194,0.2581,24,1.0000
"Chicago, IL",07/31/2025,"$328,546","$2,114","24,026",488,"10,153","$429,875",7,0.3466,0.2659,27,1.0000
"Chicago, IL",08/31/2012,"$164,689",,,,"10,679","$230,205",5,0.2203,,,
"Chicago, IL",08/31/2013,"$174,475",,,,"13,967","$246,793",6,0.2352,,,
"Chicago, IL",08/31/2014,"$190,669",,,,"13,094","$273,446",6,0.2393,,,
"Chicago, IL",08/31/2015,"$197,753","$1,411",,,"14,867","$268,642",6,0.2376,0.2541,,
"Chicago, IL",08/31/2016,"$208,056","$1,454",,,"15,832","$268,967",6,0.2341,0.2542,,
"Chicago, IL",08/31/2017,"$218,697","$1,486",,,"15,382","$274,317",6,0.2414,0.2506,,
"Chicago, IL",08/31/2018,"$229,250","$1,525","49,782",551,"14,576","$285,853",6,0.2528,0.2467,44,0.9789
"Chicago, IL",08/31/2019,"$234,694","$1,566","52,135",565,"14,145","$289,357",6,0.2336,0.2447,51,0.9787
"Chicago, IL",08/31/2020,"$239,156","$1,571","43,099",643,"15,484","$326,633",6,0.2170,0.2344,49,0.9841
"Chicago, IL",08/31/2021,"$271,440","$1,650","39,729",539,"18,358","$349,329",7,0.2307,0.2390,25,1.0000
"Chicago, IL",08/31/2022,"$294,858","$1,802","31,876",580,"12,179","$356,854",7,0.2854,0.2511,24,1.0000
"Chicago, IL",08/31/2023,"$301,904","$1,909","22,830",720,"10,282","$380,189",7,0.3224,0.2557,25,1.0000
"Chicago, IL",08/31/2024,"$318,780","$1,997","23,445",532,"9,642","$402,759",7,0.3119,0.2587,25,1.0000
"Chicago, IL",08/31/2025,"$329,529","$2,118","24,129",555,"9,270","$429,778",7,0.3438,0.2664,29,1.0000
"Chicago, IL",09/30/2012,"$164,696",,,,"8,669","$217,637",5,0.2179,,,
"Chicago, IL",09/30/2013,"$176,035",,,,"11,400","$233,148",6,0.2374,,,
"Chicago, IL",09/30/2014,"$191,289",,,,"12,515","$254,811",6,0.2403,,,
"Chicago, IL",09/30/2015,"$198,548","$1,406",,,"13,510","$252,598",6,0.2373,0.2536,,
"Chicago, IL",09/30/2016,"$208,484","$1,447",,,"13,177","$252,997",6,0.2344,0.2541,,
"Chicago, IL",09/30/2017,"$219,374","$1,480",,,"12,483","$263,425",6,0.2404,0.2508,,
"Chicago, IL",09/30/2018,"$229,348","$1,514","49,630",523,"11,138","$273,624",6,0.2532,0.2456,49,0.9769
"Chicago, IL",09/30/2019,"$234,245","$1,561","51,829",520,"11,511","$270,781",6,0.2330,0.2455,56,0.9777
"Chicago, IL",09/30/2020,"$240,715","$1,557","42,308",611,"15,471","$318,359",6,0.2179,0.2340,45,0.9855
"Chicago, IL",09/30/2021,"$271,701","$1,657","39,806",480,"15,750","$330,536",7,0.2327,0.2422,28,1.0000
"Chicago, IL",09/30/2022,"$293,195","$1,803","31,682",542,"10,965","$344,200",7,0.3020,0.2518,29,0.9938
"Chicago, IL",09/30/2023,"$303,718","$1,905","22,737",584,"8,623","$359,564",7,0.3262,0.2557,26,1.0000
"Chicago, IL",09/30/2024,"$319,771","$1,996","23,822",496,"7,996","$388,115",7,0.3061,0.2594,27,1.0000
"Chicago, IL",09/30/2025,"$330,843","$2,116","24,076",563,"8,540","$410,425",7,0.3399,0.2669,31,1.0000
"Chicago, IL",10/31/2012,"$164,505",,,,"9,619","$199,611",5,0.2151,,,
"Chicago, IL",10/31/2013,"$177,918",,,,"12,196","$228,833",6,0.2345,,,
"Chicago, IL",10/31/2014,"$191,789",,,,"12,630","$241,072",6,0.2383,,,
"Chicago, IL",10/31/2015,"$199,638","$1,399",,,"12,965","$250,428",6,0.2360,0.2534,,
"Chicago, IL",10/31/2016,"$209,270","$1,438",,,"12,067","$250,607",6,0.2348,0.2540,,
"Chicago, IL",10/31/2017,"$220,325","$1,470",,,"11,482","$260,517",6,0.2425,0.2506,,
"Chicago, IL",10/31/2018,"$229,488","$1,503","48,916",545,"11,802","$262,575",6,0.2559,0.2448,54,0.9760
"Chicago, IL",10/31/2019,"$234,136","$1,554","50,805",534,"11,586","$270,270",6,0.2344,0.2465,60,0.9765
"Chicago, IL",10/31/2020,"$243,139","$1,537","40,961",627,"17,028","$320,981",6,0.2195,0.2337,43,0.9857
"Chicago, IL",10/31/2021,"$271,845","$1,657","38,727",495,"14,114","$326,617",7,0.2369,0.2454,31,1.0000
"Chicago, IL",10/31/2022,"$291,858","$1,799","30,798",506,"9,117","$331,783",7,0.3172,0.2527,33,0.9896
"Chicago, IL",10/31/2023,"$305,068","$1,898","22,644",567,"8,158","$348,270",7,0.3360,0.2558,28,1.0000
"Chicago, IL",10/31/2024,"$320,737","$1,995","24,170",513,"8,200","$380,692",7,0.3119,0.2605,31,1.0000
"Chicago, IL",10/31/2025,"$332,130","$2,110","23,989",531,"8,770","$409,374",7,0.3382,0.2671,33,1.0000
"Chicago, IL",11/30/2012,"$164,180",,,,"8,665","$205,713",5,0.2135,,,
"Chicago, IL",11/30/2013,"$179,707",,,,"9,904","$226,224",6,0.2373,,,
"Chicago, IL",11/30/2014,"$192,317",,,,"9,284","$237,110",6,0.2378,,,
"Chicago, IL",11/30/2015,"$200,782","$1,392",,,"9,479","$239,773",6,0.2388,0.2532,,
"Chicago, IL",11/30/2016,"$210,192","$1,426",,,"10,946","$248,920",6,0.2402,0.2533,,
"Chicago, IL",11/30/2017,"$221,503","$1,464",,,"10,148","$259,665",6,0.2437,0.2508,,
"Chicago, IL",11/30/2018,"$229,793","$1,497","46,495",516,"10,261","$271,101",6,0.2558,0.2444,60,0.9736
"Chicago, IL",11/30/2019,"$234,332","$1,548","47,938",533,"9,608","$271,008",6,0.2348,0.2470,66,0.9755
"Chicago, IL",11/30/2020,"$246,142","$1,521","38,027",563,"14,208","$310,900",6,0.2212,0.2333,42,0.9857
"Chicago, IL",11/30/2021,"$272,509","$1,657","35,528",519,"13,435","$321,024",7,0.2384,0.2485,36,0.9942
"Chicago, IL",11/30/2022,"$291,094","$1,794","28,771",500,"8,074","$329,466",7,0.3136,0.2532,37,0.9868
"Chicago, IL",11/30/2023,"$305,973","$1,892","21,781",660,"6,827","$351,080",7,0.3320,0.2558,31,1.0000
"Chicago, IL",11/30/2024,"$321,762","$1,994","23,408",579,"7,318","$389,058",7,0.3207,0.2615,35,0.9949
"Chicago, IL",11/30/2025,"$333,656","$2,105","22,985",531,"6,575","$408,249",7,0.3385,0.2674,36,0.9969
"Chicago, IL",12/31/2012,"$164,033",,,,"8,365","$204,545",5,0.2132,,,
"Chicago, IL",12/31/2013,"$181,456",,,,"10,400","$234,697",6,0.2424,,,
"Chicago, IL",12/31/2014,"$192,856",,,,"10,536","$238,588",6,0.2357,,,
"Chicago, IL",12/31/2015,"$201,960","$1,393",,,"10,972","$245,046",6,0.2398,0.2534,,
"Chicago, IL",12/31/2016,"$211,412","$1,421",,,"11,010","$249,559",6,0.2482,0.2525,,
"Chicago, IL",12/31/2017,"$222,751","$1,461",,,"9,809","$263,523",6,0.2446,0.2505,,
"Chicago, IL",12/31/2018,"$230,376","$1,498","42,304",461,"8,884","$261,356",6,0.2514,0.2448,69,0.9720
"Chicago, IL",12/31/2019,"$234,956","$1,543","43,093",485,"10,155","$269,884",6,0.2359,0.2473,75,0.9731
"Chicago, IL",12/31/2020,"$249,128","$1,515","33,837",601,"14,119","$306,215",6,0.2209,0.2320,46,0.9850
"Chicago, IL",12/31/2021,"$273,970","$1,663","30,559",471,"12,606","$327,961",7,0.2389,0.2492,41,0.9936
"Chicago, IL",12/31/2022,"$290,677","$1,794","25,674",489,"7,238","$325,288",7,0.3027,0.2534,43,0.9830
"Chicago, IL",12/31/2023,"$306,600","$1,894","19,944",486,"6,848","$351,186",7,0.3178,0.2563,36,0.9912
"Chicago, IL",12/31/2024,"$322,994","$1,997","21,405",470,"7,275","$379,137",7,0.3192,0.2625,41,0.9891
"Chicago, IL",12/31/2025,"$335,365","$2,103","20,628",499,"7,469","$395,261",7,0.3383,0.2675,42,0.9904
"Dallas, TX",01/31/2012,"$142,177",,,,"3,315","$186,205",5,0.2024,,,
"Dallas, TX",01/31/2013,"$150,291",,,,"4,179","$192,778",5,0.2010,,,
"Dallas, TX",01/31/2014,"$162,985",,,,"4,143","$211,296",6,0.2264,,,
"Dallas, TX",01/31/2015,"$176,246","$1,043",,,"4,196","$236,141",6,0.2161,0.2026,,
"Dallas, TX",01/31/2016,"$197,218","$1,098",,,"4,915","$247,886",6,0.2365,0.2064,,
"Dallas, TX",01/31/2017,"$218,890","$1,150",,,"5,068","$272,319",7,0.2554,0.2091,,
"Dallas, TX",01/31/2018,"$239,766","$1,204",,"1,562","5,278","$284,216",7,0.2590,0.2091,,0.9878
"Dallas, TX",01/31/2019,"$253,019","$1,247","27,727","1,358","4,519","$286,234",7,0.2739,0.2082,65,0.9842
"Dallas, TX",01/31/2020,"$260,770","$1,285","28,058","1,188","5,217","$312,293",7,0.2598,0.2105,69,0.9857
"Dallas, TX",01/31/2021,"$282,983","$1,324","19,294","1,381","5,641","$358,893",7,0.2432,0.2072,45,1.0000
"Dallas, TX",01/31/2022,"$341,964","$1,545","16,641","1,092","6,159","$429,506",9,0.2891,0.2347,32,1.0089
"Dallas, TX",01/31/2023,"$379,724","$1,625","18,560","1,318","3,734","$428,466",9,0.3666,0.2292,46,0.9822
"Dallas, TX",01/31/2024,"$378,435","$1,627","21,624","1,478","4,201","$468,151",8,0.3635,0.2166,51,0.9849
"Dallas, TX",01/31/2025,"$377,276","$1,621","28,741","1,599","4,275","$477,126",8,0.3540,0.2057,69,0.9825
"Dallas, TX",01/31/2026,"$362,720","$1,626","31,310","1,384","4,077","$475,760",7,0.3126,0.1997,80,0.9813
"Dallas, TX",02/28/2013,"$151,212",,,,"4,690","$202,458",5,0.2037,,,
"Dallas, TX",02/28/2014,"$164,162",,,,"4,874","$228,826",6,0.2254,,,
"Dallas, TX",02/28/2015,"$177,782","$1,048",,,"4,961","$247,067",6,0.2180,0.2028,,
"Dallas, TX",02/28/2017,"$220,706","$1,156",,,"5,745","$284,450",7,0.2565,0.2090,,
"Dallas, TX",02/28/2018,"$241,617","$1,210",,"1,706","6,092","$297,446",7,0.2658,0.2091,,0.9924
"Dallas, TX",02/28/2019,"$254,022","$1,251","27,057","1,491","5,822","$299,627",7,0.2720,0.2078,66,0.9872
"Dallas, TX",02/28/2021,"$287,096","$1,335","17,682","1,216","5,793","$389,167",7,0.2453,0.2069,44,1.0000
"Dallas, TX",02/28/2022,"$350,405","$1,556","14,913","1,101","6,330","$444,692",9,0.3011,0.2349,31,1.0233
"Dallas, TX",02/28/2023,"$377,414","$1,627","17,106","1,868","5,189","$452,159",9,0.3621,0.2280,49,0.9865
"Dallas, TX",02/28/2025,"$376,485","$1,628","28,211","1,885","5,040","$482,664",8,0.3496,0.2056,71,0.9848
"Dallas, TX",02/28/2026,"$362,142","$1,630","30,122",,"4,872","$485,178",7,0.3101,0.1990,82,
"Dallas, TX",02/29/2012,"$142,347",,,,"3,964","$190,431",5,0.2017,,,
"Dallas, TX",02/29/2016,"$199,292","$1,104",,,"5,813","$254,089",6,0.2342,0.2064,,
"Dallas, TX",02/29/2020,"$262,334","$1,291","27,264","1,409","6,039","$321,424",7,0.2582,0.2110,69,0.9875
"Dallas, TX",02/29/2024,"$378,926","$1,626","21,366","1,808","5,187","$481,437",8,0.3656,0.2149,52,0.9880
"Dallas, TX",03/31/2012,"$142,825",,,,"5,221","$206,227",5,0.2029,,,
"Dallas, TX",03/31/2013,"$152,162",,,,"6,663","$218,479",5,0.2047,,,
"Dallas, TX",03/31/2014,"$165,275",,,,"6,232","$234,292",6,0.2269,,,
"Dallas, TX",03/31/2015,"$179,301","$1,055",,,"6,738","$257,329",6,0.2206,0.2036,,
"Dallas, TX",03/31/2016,"$201,102","$1,111",,,"7,510","$270,169",6,0.2358,0.2062,,
"Dallas, TX",03/31/2017,"$222,649","$1,168",,,"7,914","$296,500",7,0.2580,0.2094,,
"Dallas, TX",03/31/2018,"$243,485","$1,217","24,042","2,383","7,661","$319,468",7,0.2693,0.2088,46,0.9968
"Dallas, TX",03/31/2019,"$254,885","$1,261","28,543","2,162","7,480","$315,089",7,0.2702,0.2080,62,0.9900
"Dallas, TX",03/31/2020,"$263,820","$1,299","27,993","1,841","7,357","$332,437",7,0.2574,0.2103,64,0.9909
"Dallas, TX",03/31/2021,"$291,681","$1,347","17,931","1,584","7,943","$404,986",8,0.2537,0.2081,40,1.0044
"Dallas, TX",03/31/2022,"$359,984","$1,569","14,911","1,562","8,190","$466,083",9,0.3170,0.2349,26,1.0447
"Dallas, TX",03/31/2023,"$375,847","$1,638","17,053","2,362","6,679","$454,777",9,0.3676,0.2280,45,0.9973
"Dallas, TX",03/31/2024,"$380,103","$1,630","22,467","2,164","6,178","$503,588",8,0.3662,0.2134,49,0.9955
"Dallas, TX",03/31/2025,"$374,975","$1,639","29,656","2,294","6,225","$514,924",8,0.3425,0.2049,67,0.9874
"Dallas, TX",04/30/2012,"$143,468",,,,"5,567","$209,585",5,0.2029,,,
"Dallas, TX",04/30/2013,"$152,983",,,,"7,302","$234,632",5,0.2032,,,
"Dallas, TX",04/30/2014,"$166,160",,,,"6,933","$243,562",6,0.2275,,,
"Dallas, TX",04/30/2015,"$180,699","$1,066",,,"7,015","$261,313",6,0.2208,0.2049,,
"Dallas, TX",04/30/2016,"$202,950","$1,122",,,"7,770","$273,364",6,0.2353,0.2064,,
"Dallas, TX",04/30/2017,"$224,760","$1,177",,,"7,750","$298,404",7,0.2563,0.2091,,
"Dallas, TX",04/30/2018,"$245,151","$1,224","25,876","2,275","8,005","$313,946",7,0.2708,0.2088,42,1.0000
"Dallas, TX",04/30/2019,"$255,359","$1,270","30,513","2,117","8,236","$324,195",7,0.2678,0.2083,56,0.9917
"Dallas, TX",04/30/2020,"$264,603","$1,300","28,231","1,556","6,275","$332,474",7,0.2532,0.2082,56,0.9944
"Dallas, TX",04/30/2021,"$296,750","$1,364","18,591","1,377","9,029","$416,770",8,0.2572,0.2103,33,1.0215
"Dallas, TX",04/30/2022,"$369,446","$1,587","15,053","1,339","8,304","$507,171",9,0.3441,0.2356,18,1.0538
"Dallas, TX",04/30/2023,"$375,285","$1,643","17,959","2,052","6,323","$479,643",9,0.3609,0.2271,37,1.0000
"Dallas, TX",04/30/2024,"$381,089","$1,636","24,293","2,045","6,999","$509,962",8,0.3704,0.2121,43,0.9967
"Dallas, TX",04/30/2025,"$372,838","$1,651","31,942","2,115","6,718","$516,640",8,0.3414,0.2044,59,0.9898
"Dallas, TX",05/31/2012,"$144,047",,,,"6,691","$219,079",5,0.2018,,,
"Dallas, TX",05/31/2013,"$153,910",,,,"8,301","$239,811",5,0.2050,,,
"Dallas, TX",05/31/2014,"$167,078",,,,"8,008","$250,071",6,0.2258,,,
"Dallas, TX",05/31/2015,"$182,161","$1,075",,,"8,145","$271,495",6,0.2252,0.2058,,
"Dallas, TX",05/31/2016,"$204,712","$1,130",,,"8,474","$287,724",6,0.2363,0.2062,,
"Dallas, TX",05/31/2017,"$226,752","$1,189",,,"9,429","$312,296",7,0.2566,0.2095,,
"Dallas, TX",05/31/2018,"$246,717","$1,229","28,224","2,382","9,407","$327,743",7,0.2741,0.2084,38,1.0000
"Dallas, TX",05/31/2019,"$255,554","$1,278","32,932","1,906","9,403","$333,758",7,0.2661,0.2086,51,0.9920
"Dallas, TX",05/31/2020,"$264,593","$1,300","29,129","1,687","6,341","$324,968",7,0.2501,0.2060,52,0.9926
"Dallas, TX",05/31/2021,"$302,589","$1,387","20,030","1,262","9,400","$432,189",8,0.2594,0.2129,28,1.0316
"Dallas, TX",05/31/2022,"$378,012","$1,609","16,146","1,406","9,053","$522,184",9,0.3563,0.2362,13,1.0500
"Dallas, TX",05/31/2023,"$375,576","$1,651","19,975","2,208","7,752","$496,851",9,0.3625,0.2264,30,1.0000
"Dallas, TX",05/31/2024,"$381,235","$1,642","26,387","2,093","7,656","$531,476",8,0.3707,0.2110,39,0.9985
"Dallas, TX",05/31/2025,"$370,410","$1,656","35,041","2,541","7,205","$523,825",8,0.3404,0.2036,53,0.9895
"Dallas, TX",06/30/2012,"$144,772",,,,"6,830","$222,986",5,0.2008,,,
"Dallas, TX",06/30/2013,"$155,113",,,,"7,998","$246,762",5,0.2145,,,
"Dallas, TX",06/30/2014,"$168,085",,,,"8,484","$252,666",6,0.2256,,,
"Dallas, TX",06/30/2015,"$183,772","$1,083",,,"9,171","$277,936",6,0.2289,0.2064,,
"Dallas, TX",06/30/2016,"$206,592","$1,137",,,"9,233","$291,098",6,0.2372,0.2065,,
"Dallas, TX",06/30/2017,"$228,578","$1,195",,,"9,838","$312,645",7,0.2554,0.2091,,
"Dallas, TX",06/30/2018,"$247,784","$1,237","30,490","2,372","9,437","$331,708",7,0.2741,0.2085,37,1.0000
"Dallas, TX",06/30/2019,"$255,615","$1,285","34,785","1,638","8,478","$345,512",7,0.2606,0.2088,49,0.9909
"Dallas, TX",06/30/2020,"$264,376","$1,300","29,893","2,164","9,356","$347,415",7,0.2482,0.2049,50,0.9954
"Dallas, TX",06/30/2021,"$308,702","$1,418","21,087","1,210","10,513","$439,976",8,0.2622,0.2147,25,1.0364
"Dallas, TX",06/30/2022,"$385,355","$1,635","17,845","1,453","9,084","$520,582",9,0.3687,0.2371,12,1.0308
"Dallas, TX",06/30/2023,"$376,410","$1,652","21,723","2,152","7,727","$505,896",9,0.3697,0.2243,27,1.0000
"Dallas, TX",06/30/2024,"$380,559","$1,649","28,697","2,060","6,580","$513,890",8,0.3648,0.2103,38,0.9933
"Dallas, TX",06/30/2025,"$368,035","$1,658","37,501","2,376","7,072","$535,377",8,0.3376,0.2031,52,0.9881
"Dallas, TX",07/31/2012,"$145,609",,,,"6,539","$218,832",5,0.1999,,,
"Dallas, TX",07/31/2013,"$156,373",,,,"8,461","$238,065",5,0.2212,,,
"Dallas, TX",07/31/2014,"$169,329",,,,"8,410","$251,197",6,0.2256,,,
"Dallas, TX",07/31/2015,"$185,628","$1,090",,,"9,226","$266,058",6,0.2315,0.2067,,
"Dallas, TX",07/31/2016,"$208,199","$1,141",,,"8,586","$276,910",6,0.2363,0.2068,,
"Dallas, TX",07/31/2017,"$229,978","$1,200",,,"8,882","$303,591",7,0.2571,0.2090,,
"Dallas, TX",07/31/2018,"$248,881","$1,240","32,408","2,223","9,172","$320,022",7,0.2736,0.2085,38,0.9986
"Dallas, TX",07/31/2019,"$255,711","$1,287","36,078","1,756","9,240","$325,801",7,0.2596,0.2090,49,0.9909
"Dallas, TX",07/31/2020,"$264,739","$1,304","31,000","2,215","11,099","$364,823",7,0.2456,0.2046,49,0.9984
"Dallas, TX",07/31/2021,"$314,240","$1,450","22,496","1,021","10,233","$432,387",8,0.2619,0.2164,23,1.0311
"Dallas, TX",07/31/2022,"$389,388","$1,655","20,485","1,206","8,189","$495,434",9,0.3669,0.2370,14,1.0075
"Dallas, TX",07/31/2023,"$377,407","$1,659","22,729","1,773","6,787","$498,248",9,0.3725,0.2232,28,1.0000
"Dallas, TX",07/31/2024,"$379,605","$1,652","30,590","1,943","6,926","$512,744",8,0.3607,0.2095,40,0.9907
"Dallas, TX",07/31/2025,"$366,008","$1,656","38,954","2,266","7,155","$518,320",8,0.3328,0.2024,54,0.9856
"Dallas, TX",08/31/2012,"$146,323",,,,"6,991","$214,455",5,0.2012,,,
"Dallas, TX",08/31/2013,"$157,493",,,,"8,318","$234,330",5,0.2246,,,
"Dallas, TX",08/31/2014,"$170,467",,,,"8,064","$244,695",6,0.2256,,,
"Dallas, TX",08/31/2015,"$187,492","$1,093",,,"8,765","$263,882",6,0.2307,0.2070,,
"Dallas, TX",08/31/2016,"$209,695","$1,144",,,"9,245","$282,133",6,0.2375,0.2073,,
"Dallas, TX",08/31/2017,"$231,307","$1,201",,,"9,237","$304,272",7,0.2559,0.2088,,
"Dallas, TX",08/31/2018,"$249,705","$1,241","33,567","2,437","9,060","$312,266",7,0.2741,0.2084,41,0.9918
"Dallas, TX",08/31/2019,"$255,954","$1,289","36,285","1,723","8,847","$324,077",7,0.2567,0.2093,51,0.9891
"Dallas, TX",08/31/2020,"$266,175","$1,308","30,306","1,880","9,781","$364,514",7,0.2451,0.2047,47,1.0000
"Dallas, TX",08/31/2021,"$318,533","$1,479","23,661",980,"10,268","$424,964",8,0.2629,0.2189,24,1.0220
"Dallas, TX",08/31/2022,"$390,057","$1,662","22,365","1,470","8,500","$478,183",9,0.3602,0.2360,18,1.0000
"Dallas, TX",08/31/2023,"$378,347","$1,659","23,214","2,007","6,999","$497,959",9,0.3782,0.2218,31,0.9983
